FY,CDCWk,WkNum,WkStart,Disease,Metric,Count,Rate,ThisWk,LastWk,Update Date,End Date,WkStrtActual,WkEndActual,extraction_date,source,workbook_name,hyper_file
22_23,27,1,7/2/23,RSV,Cases,14,0.425880645,,,7/10/24,6/29/24,7/3/22,7/9/22,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
23_24,27,1,7/2/23,Flu,Cases,58,1.764362673,0,0,7/10/24,6/29/24,7/2/23,7/8/23,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
22_23,27,1,7/2/23,Flu,Cases,77,2.342343548,,,7/10/24,6/29/24,7/3/22,7/9/22,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
23_24,27,1,7/2/23,COVID,Cases,460,13.9932212,0,0,7/10/24,6/29/24,7/2/23,7/8/23,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
21_22,27,1,7/2/23,COVID,Cases,2304,69.49379321,,,7/10/24,6/29/24,7/4/21,7/10/21,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
20_21,27,1,7/2/23,COVID,Cases,3671,109.8001165,,,7/10/24,6/29/24,6/28/20,7/4/20,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
22_23,27,1,7/2/23,COVID,Cases,13090,398.1984032,,,7/10/24,6/29/24,7/3/22,7/9/22,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
20_21,28,2,7/9/23,Flu,Cases,0,0,,,7/10/24,6/29/24,7/5/20,7/11/20,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
20_21,28,2,7/9/23,RSV,Cases,0,0,,,7/10/24,6/29/24,7/5/20,7/11/20,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
21_22,28,2,7/9/23,Flu,Cases,3,0.09048671,,,7/10/24,6/29/24,7/11/21,7/17/21,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
23_24,28,2,7/9/23,RSV,Cases,6,0.182520276,0,0,7/10/24,6/29/24,7/9/23,7/15/23,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
21_22,28,2,7/9/23,RSV,Cases,12,0.36194684,,,7/10/24,6/29/24,7/11/21,7/17/21,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
22_23,28,2,7/9/23,RSV,Cases,22,0.669241014,,,7/10/24,6/29/24,7/10/22,7/16/22,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
22_23,28,2,7/9/23,Flu,Cases,41,1.247221889,,,7/10/24,6/29/24,7/10/22,7/16/22,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
23_24,28,2,7/9/23,Flu,Cases,65,1.977302995,0,0,7/10/24,6/29/24,7/9/23,7/15/23,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
23_24,28,2,7/9/23,COVID,Cases,580,17.64362673,0,0,7/10/24,6/29/24,7/9/23,7/15/23,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
21_22,28,2,7/9/23,COVID,Cases,3858,116.365909,,,7/10/24,6/29/24,7/11/21,7/17/21,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
20_21,28,2,7/9/23,COVID,Cases,4136,123.7083307,,,7/10/24,6/29/24,7/5/20,7/11/20,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
22_23,28,2,7/9/23,COVID,Cases,14582,443.5851119,,,7/10/24,6/29/24,7/10/22,7/16/22,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
20_21,29,3,7/16/23,Flu,Cases,0,0,,,7/10/24,6/29/24,7/12/20,7/18/20,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
20_21,29,3,7/16/23,RSV,Cases,0,0,,,7/10/24,6/29/24,7/12/20,7/18/20,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
23_24,29,3,7/16/23,RSV,Cases,8,0.243360369,0,0,7/10/24,6/29/24,7/16/23,7/22/23,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
21_22,29,3,7/16/23,Flu,Cases,10,0.301622366,,,7/10/24,6/29/24,7/18/21,7/24/21,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
22_23,29,3,7/16/23,RSV,Cases,10,0.304200461,,,7/10/24,6/29/24,7/17/22,7/23/22,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
21_22,29,3,7/16/23,RSV,Cases,20,0.603244733,,,7/10/24,6/29/24,7/18/21,7/24/21,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
23_24,29,3,7/16/23,Flu,Cases,43,1.308061981,0,0,7/10/24,6/29/24,7/16/23,7/22/23,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
22_23,29,3,7/16/23,Flu,Cases,45,1.368902074,,,7/10/24,6/29/24,7/17/22,7/23/22,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
23_24,29,3,7/16/23,COVID,Cases,701,21.3244523,0,0,7/10/24,6/29/24,7/16/23,7/22/23,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
20_21,29,3,7/16/23,COVID,Cases,3540,105.8818885,,,7/10/24,6/29/24,7/12/20,7/18/20,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
21_22,29,3,7/16/23,COVID,Cases,5737,173.0407516,,,7/10/24,6/29/24,7/18/21,7/24/21,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
22_23,29,3,7/16/23,COVID,Cases,13519,411.248603,,,7/10/24,6/29/24,7/17/22,7/23/22,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
20_21,30,4,7/23/23,Flu,Cases,0,0,,,7/10/24,6/29/24,7/19/20,7/25/20,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
20_21,30,4,7/23/23,RSV,Cases,0,0,,,7/10/24,6/29/24,7/19/20,7/25/20,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
21_22,30,4,7/23/23,Flu,Cases,6,0.18097342,,,7/10/24,6/29/24,7/25/21,7/31/21,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
23_24,30,4,7/23/23,RSV,Cases,13,0.395460599,0,0,7/10/24,6/29/24,7/23/23,7/29/23,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
22_23,30,4,7/23/23,RSV,Cases,14,0.425880645,,,7/10/24,6/29/24,7/24/22,7/30/22,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
21_22,30,4,7/23/23,RSV,Cases,18,0.542920259,,,7/10/24,6/29/24,7/25/21,7/31/21,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
22_23,30,4,7/23/23,Flu,Cases,28,0.85176129,,,7/10/24,6/29/24,7/24/22,7/30/22,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
23_24,30,4,7/23/23,Flu,Cases,54,1.642682488,0,0,7/10/24,6/29/24,7/23/23,7/29/23,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
23_24,30,4,7/23/23,COVID,Cases,1003,30.51130622,0,0,7/10/24,6/29/24,7/23/23,7/29/23,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
20_21,30,4,7/23/23,COVID,Cases,2751,82.28278959,,,7/10/24,6/29/24,7/19/20,7/25/20,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
21_22,30,4,7/23/23,COVID,Cases,7276,219.4604338,,,7/10/24,6/29/24,7/25/21,7/31/21,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
22_23,30,4,7/23/23,COVID,Cases,10967,333.6166454,,,7/10/24,6/29/24,7/24/22,7/30/22,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
20_21,31,5,7/30/23,RSV,Cases,0,0,,,7/10/24,6/29/24,7/26/20,8/1/20,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
20_21,31,5,7/30/23,Flu,Cases,2,0.059820276,,,7/10/24,6/29/24,7/26/20,8/1/20,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
23_24,31,5,7/30/23,RSV,Cases,8,0.243360369,0,0,7/10/24,6/29/24,7/30/23,8/5/23,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
21_22,31,5,7/30/23,Flu,Cases,14,0.422271313,,,7/10/24,6/29/24,8/1/21,8/7/21,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
21_22,31,5,7/30/23,RSV,Cases,16,0.482595786,,,7/10/24,6/29/24,8/1/21,8/7/21,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
22_23,31,5,7/30/23,RSV,Cases,18,0.547560829,,,7/10/24,6/29/24,7/31/22,8/6/22,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
22_23,31,5,7/30/23,Flu,Cases,29,0.882181336,,,7/10/24,6/29/24,7/31/22,8/6/22,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
23_24,31,5,7/30/23,Flu,Cases,61,1.855622811,0,0,7/10/24,6/29/24,7/30/23,8/5/23,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
23_24,31,5,7/30/23,COVID,Cases,1255,38.17715783,0,0,7/10/24,6/29/24,7/30/23,8/5/23,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
20_21,31,5,7/30/23,COVID,Cases,2288,68.4343957,,,7/10/24,6/29/24,7/26/20,8/1/20,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
22_23,31,5,7/30/23,COVID,Cases,8468,257.5969502,,,7/10/24,6/29/24,7/31/22,8/6/22,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
21_22,31,5,7/30/23,COVID,Cases,9073,273.661973,,,7/10/24,6/29/24,8/1/21,8/7/21,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
20_21,32,6,8/6/23,RSV,Cases,0,0,,,7/10/24,6/29/24,8/2/20,8/8/20,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
20_21,32,6,8/6/23,Flu,Cases,1,0.029910138,,,7/10/24,6/29/24,8/2/20,8/8/20,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
23_24,32,6,8/6/23,RSV,Cases,11,0.334620507,0,0,7/10/24,6/29/24,8/6/23,8/12/23,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
22_23,32,6,8/6/23,RSV,Cases,18,0.547560829,,,7/10/24,6/29/24,8/7/22,8/13/22,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
21_22,32,6,8/6/23,Flu,Cases,19,0.573082496,,,7/10/24,6/29/24,8/8/21,8/14/21,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
22_23,32,6,8/6/23,Flu,Cases,21,0.638820968,,,7/10/24,6/29/24,8/7/22,8/13/22,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
21_22,32,6,8/6/23,RSV,Cases,37,1.116002756,,,7/10/24,6/29/24,8/8/21,8/14/21,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
23_24,32,6,8/6/23,Flu,Cases,45,1.368902074,0,0,7/10/24,6/29/24,8/6/23,8/12/23,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
23_24,32,6,8/6/23,COVID,Cases,1471,44.74788778,0,0,7/10/24,6/29/24,8/6/23,8/12/23,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
20_21,32,6,8/6/23,COVID,Cases,1897,56.73953175,,,7/10/24,6/29/24,8/2/20,8/8/20,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
22_23,32,6,8/6/23,COVID,Cases,6689,203.4796882,,,7/10/24,6/29/24,8/7/22,8/13/22,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
21_22,32,6,8/6/23,COVID,Cases,9847,297.0075442,,,7/10/24,6/29/24,8/8/21,8/14/21,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
20_21,33,7,8/13/23,Flu,Cases,0,0,,,7/10/24,6/29/24,8/9/20,8/15/20,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
20_21,33,7,8/13/23,RSV,Cases,1,0.029910138,,,7/10/24,6/29/24,8/9/20,8/15/20,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
23_24,33,7,8/13/23,RSV,Cases,3,0.091260138,0,0,7/10/24,6/29/24,8/13/23,8/19/23,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
21_22,33,7,8/13/23,Flu,Cases,11,0.331784603,,,7/10/24,6/29/24,8/15/21,8/21/21,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
22_23,33,7,8/13/23,RSV,Cases,22,0.669241014,,,7/10/24,6/29/24,8/14/22,8/20/22,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
22_23,33,7,8/13/23,Flu,Cases,32,0.973441475,,,7/10/24,6/29/24,8/14/22,8/20/22,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
21_22,33,7,8/13/23,RSV,Cases,36,1.085840519,,,7/10/24,6/29/24,8/15/21,8/21/21,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
23_24,33,7,8/13/23,Flu,Cases,59,1.794782719,0,0,7/10/24,6/29/24,8/13/23,8/19/23,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
20_21,33,7,8/13/23,COVID,Cases,1744,52.16328064,,,7/10/24,6/29/24,8/9/20,8/15/20,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
23_24,33,7,8/13/23,COVID,Cases,1745,53.08298041,0,0,7/10/24,6/29/24,8/13/23,8/19/23,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
22_23,33,7,8/13/23,COVID,Cases,5419,164.8462297,,,7/10/24,6/29/24,8/14/22,8/20/22,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
21_22,33,7,8/13/23,COVID,Cases,9485,286.0888145,,,7/10/24,6/29/24,8/15/21,8/21/21,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
20_21,34,8,8/20/23,Flu,Cases,0,0,,,7/10/24,6/29/24,8/16/20,8/22/20,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
20_21,34,8,8/20/23,RSV,Cases,0,0,,,7/10/24,6/29/24,8/16/20,8/22/20,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
23_24,34,8,8/20/23,RSV,Cases,14,0.425880645,0,0,7/10/24,6/29/24,8/20/23,8/26/23,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
22_23,34,8,8/20/23,RSV,Cases,22,0.669241014,,,7/10/24,6/29/24,8/21/22,8/27/22,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
21_22,34,8,8/20/23,Flu,Cases,25,0.754055916,,,7/10/24,6/29/24,8/22/21,8/28/21,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
22_23,34,8,8/20/23,Flu,Cases,33,1.003861521,,,7/10/24,6/29/24,8/21/22,8/27/22,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
23_24,34,8,8/20/23,Flu,Cases,35,1.064701613,0,0,7/10/24,6/29/24,8/20/23,8/26/23,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
21_22,34,8,8/20/23,RSV,Cases,37,1.116002756,,,7/10/24,6/29/24,8/22/21,8/28/21,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
20_21,34,8,8/20/23,COVID,Cases,1760,52.64184285,,,7/10/24,6/29/24,8/16/20,8/22/20,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
23_24,34,8,8/20/23,COVID,Cases,1775,53.99558179,0,0,7/10/24,6/29/24,8/20/23,8/26/23,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
22_23,34,8,8/20/23,COVID,Cases,4535,137.954909,,,7/10/24,6/29/24,8/21/22,8/27/22,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
21_22,34,8,8/20/23,COVID,Cases,8484,255.8964156,,,7/10/24,6/29/24,8/22/21,8/28/21,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
20_21,35,9,8/27/23,Flu,Cases,0,0,,,7/10/24,6/29/24,8/23/20,8/29/20,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
20_21,35,9,8/27/23,RSV,Cases,0,0,,,7/10/24,6/29/24,8/23/20,8/29/20,2025-08-12T21:30:57.876392,sandiego_epidemiology_tableau,sandiego_epidemiology,Demo_Percent+ (COVID Flu RSV Tableau Output_2).hyper
